Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Come Prima (Koma Preema),Polly Bergen ,1958-12-20,67,6,
Billy Bayou,Jim Reeves ,1958-12-13,95,1,
(I Wanna) Dance With The Teacher,The Olympics ,1958-12-13,71,5,
Don't You Know Yockomo,Huey piano Smith With His Clowns ,1958-12-13,56,6,
(All of a Sudden) My Heart Sings,Paul Anka ,1958-12-27,15,17,
The All American Boy,Bill Parsons ,1958-12-27,2,16,
Jingle Bell Rock,Bobby Helms ,1958-12-27,29,19,
Don't Pity Me,Dion & The Belmonts ,1958-12-27,40,12,
Rocka-Conga,The Applejacks ,1958-12-27,38,10,
Lucky Ladybug,Billy & Lillie ,1958-12-27,14,13,
Teasin',Quaker City Boys ,1958-12-27,39,9,
White Christmas,Bing Crosby ,1958-12-27,12,13,
The Little Drummer Boy,The Harry Simeone Chorale ,1958-12-27,13,28,
Rockhouse (Part 2),Ray Charles and his Orchestra ,1958-12-27,79,2,
"Wiggle, Wiggle",The Accents ,1958-12-27,51,12,
So Much,Little Anthony And The Imperials ,1958-12-27,87,2,
The Reason,The 5 Chanels ,1958-12-27,98,1,
Here I Stand,Wade Flemons and the Newcomers ,1958-12-27,80,5,
The Day I Died,The Playmates ,1958-10-11,81,2,
Bullwhip Rock,Cyclones ,1958-10-11,83,2,
Well I'm Your Man,Johnny Tillotson ,1958-10-11,87,3,
Fried Onions,Lord Rockingham's XI ,1958-10-11,96,1,
Tic Toc,Lee Allen And His Band ,1958-10-04,92,1,
May You Always,The McGuire Sisters ,1959-01-31,11,16,
Peter Gunn,Ray Anthony and His Orchestra ,1959-01-31,8,17,
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams ,1959-01-31,11,20,
The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra ,1959-01-31,13,14,
La Bamba,Ritchie Valens ,1959-01-31,22,15,
With The Wind And The Rain In Your Hair,Pat Boone ,1959-01-31,21,14,
The Children's Marching Song (Nick Nack Paddy Whack),Mitch Miller and his Sing Along With Mitch Chorus ,1959-01-31,16,14,
The Little Space Girl,Jesse Lee Turner ,1959-01-31,20,12,
Red River Rose,The Ames Brothers ,1959-01-31,37,10,
Tall Paul,Annette With The Afterbeats ,1959-01-31,7,15,
Blue Hawaii,Billy Vaughn And His Orchestra ,1959-01-31,37,10,
I'm A Man,Fabian ,1959-01-31,31,10,
Let's Love,Johnny Mathis ,1959-01-31,44,9,
Don't Take Your Guns To Town,Johnny Cash ,1959-01-31,32,12,
Petite Fleur (Little Flower),Chris Barber's Jazz Band ,1959-01-31,5,15,
The Girl On Page 44,The Four Lads ,1959-01-31,52,10,
Trust In Me,Patti Page ,1959-01-31,43,9,
"The Bluebird, The Buzzard & The Oriole",Bobby Day ,1959-01-31,54,6,
It's Only The Beginning,The Kalin Twins ,1959-01-31,42,10,
You Are Beautiful,Johnny Mathis ,1959-01-31,60,6,
Lovers Never Say Goodbye,The Flamingos ,1959-01-31,52,10,
The Lonely One,Duane Eddy His Twangy Guitar And The Rebels ,1959-01-31,23,13,
